时间,广告位类型,广告位,广告展示数,点击量,预计收入,千次展示收益,点击率
2018-11-01,开屏,十字绣hj-hj-开屏,2,0,0.00,0.00,0.00%
2018-11-01,插屏,六角拼拼-金立游戏-插屏,49,1,0.10,2.04,2.04%
2018-11-01,开屏,欢乐打豆豆-三星-开屏,488,53,18.70,38.32,10.86%
2018-11-01,Banner,贪吃大作战-魅族-横幅,"1,055",3,2.12,2.01,0.28%
2018-11-01,开屏,贪吃蛇大战2048-应用宝-开屏,78,9,1.86,23.85,11.54%
2018-11-01,插屏,开心玻璃杯-qihoo-插屏,"6,421",653,135.81,21.15,10.17%
2018-11-01,插屏,奇妙的森林-4399-插屏,2,0,0.00,0.00,0.00%
2018-11-01,开屏,贪吃蛇大战2048-应用宝-激励开屏,40,0,0.00,0.00,0.00%
2018-11-01,原生,完美贴合-4399-开屏(原),34,0,0.00,0.00,0.00%
2018-11-01,Banner,皮皮虾我们走-百度-横幅,7,0,0.00,0.00,0.00%
2018-11-01,原生,吃鸡大英雄-4399-开屏(原),"1,274",47,32.83,25.77,3.69%
2018-11-01,开屏,十字绣-oppo-激励开屏,583,29,14.03,24.07,4.97%
2018-11-01,Banner,红心大战接龙-金立游戏-横幅,"2,620",7,3.44,1.31,0.27%
2018-11-01,开屏,十字绣-应用宝-开屏,638,38,10.41,16.32,5.96%
2018-11-01,开屏,保护气球-小米-开屏,59,6,3.30,55.93,10.17%
2018-11-01,开屏,保护气球-华为-开屏,"3,728",356,85.69,22.99,9.55%
2018-11-01,插屏,八分音符酱-百度-插屏-1.3.0,180,9,3.08,17.11,5.00%
2018-11-01,插屏,八分音符酱4399-插屏,8,2,0.74,92.50,25.00%
2018-11-01,开屏,疯狂投篮-oppo-开屏,"2,612",378,98.57,37.74,14.47%
2018-11-01,Banner,十字绣-金立游戏-横幅,"1,919",5,3.02,1.57,0.26%
2018-11-01,插屏,贪吃蛇大战2048-vivo-插屏,"2,416",165,50.14,20.75,6.83%
2018-11-01,Banner,一球爆破-vivo-横幅,5,0,0.00,0.00,0.00%
2018-11-01,插屏,魅影车手-小米-插屏,14,1,0.02,1.43,7.14%
2018-11-01,Banner,暖暖换装物语-横幅,21,1,0.62,29.52,4.76%
2018-11-01,Banner,保护气球-小米-横幅,"4,697",12,3.78,0.80,0.26%
2018-11-01,Banner,红心大战接龙-oppo-横幅,"62,621",200,81.82,1.31,0.32%
2018-11-01,开屏,红心大战接龙-4399-开屏1,978,41,19.09,19.52,4.19%
2018-11-01,插屏,纽扣的游戏-三星-插屏,1,0,0.00,0.00,0.00%
2018-11-01,插屏,球球跳-联想-插屏,109,12,7.28,66.79,11.01%
2018-11-01,开屏,红心大战接龙-qihoo-开屏,74,2,0.84,11.35,2.70%
2018-11-01,Banner,吃鸡大英雄-魅族-横幅,"1,636",20,7.41,4.53,1.22%
2018-11-01,原生,保护气球-taptap-插屏(原),398,43,16.81,42.24,10.80%
2018-11-01,Banner,奇妙的森林-oppo-横幅,144,0,0.00,0.00,0.00%
2018-11-01,插屏,球球跳-vivo-插屏,"2,121",135,33.70,15.89,6.36%
2018-11-01,开屏,纽扣的游戏4399-开屏,214,21,9.18,42.90,9.81%
2018-11-01,Banner,指尖飞车-taptap-横幅,"1,783",5,2.89,1.62,0.28%
2018-11-01,开屏,i6066-开屏,9,0,0.00,0.00,0.00%
2018-11-01,开屏,六角拼拼-小米-开屏,231,11,5.66,24.50,4.76%
2018-11-01,开屏,球球大战方块-小米-开屏,24,0,0.00,0.00,0.00%
2018-11-01,开屏,疯狂投篮-小米-开屏,74,7,4.28,57.84,9.46%
2018-11-01,开屏,全民跳一跳-酷派-开屏,6,1,0.22,36.67,16.67%
2018-11-01,插屏,贪吃蛇大战2048-应用宝-激励插屏,0,0,0.00,0.00,0.00%
2018-11-01,Banner,贪吃蛇大战2048-九游-横幅,62,0,0.00,0.00,0.00%
2018-11-01,插屏,红心大战接龙-联想-插屏,66,2,0.54,8.18,3.03%
2018-11-01,插屏,疯狂投篮-应用宝-插屏,270,16,3.38,12.52,5.93%
2018-11-01,开屏,贪吃蛇大战20484399-开屏,18,3,0.77,42.78,16.67%
2018-11-01,Banner,纽扣的游戏-金立游戏-横幅,"1,995",13,1.49,0.75,0.65%
2018-11-01,插屏,八分音符酱-阿里云-插屏,0,0,0.00,0.00,0.00%
2018-11-01,开屏,吃鸡大英雄-联想-开屏,15,0,0.00,0.00,0.00%
2018-11-01,Banner,全民跳一跳-小米-横幅,80,1,0.21,2.62,1.25%
2018-11-01,插屏,指尖陀螺-联想-插屏,3,0,0.02,6.67,0.00%
2018-11-01,插屏,红心大战接龙-4399-插屏1,"2,360",58,30.94,13.11,2.46%
2018-11-01,原生,连连看-4399-原生,20,0,0.00,0.00,0.00%
2018-11-01,插屏,欢乐打豆豆-通用-插屏,409,16,8.59,21.00,3.91%
2018-11-01,插屏,开心玻璃杯-联想-插屏,"2,696",250,48.04,17.82,9.27%
