时间,广告位名称,媒体名称,曝光数量,点击数据,点击率,预估收益
2018/11/18,八分音符酱-视频-复活界面,八分音符酱,0,0,0.00%,0
2018/11/18,八分音符酱-横幅-游戏界面,八分音符酱,8091,66,0.82%,10.09
2018/11/18,八分音符酱-开屏-启动界面,八分音符酱,128,10,7.81%,1.2
2018/11/18,八分音符酱-插屏-结算界面,八分音符酱,1234,89,7.21%,6.33
2018/11/18,贪吃蛇大战2048-横幅-游戏界面,贪吃蛇大战2048,2787,39,1.40%,4.51
2018/11/18,贪吃蛇大战2048-开屏-启动界面,贪吃蛇大战2048,5,0,0.00%,0
2018/11/18,贪吃蛇大战2048-视频-复活界面,贪吃蛇大战2048,41,0,0.00%,0.11
2018/11/18,贪吃蛇大战2048-插屏-结算界面,贪吃蛇大战2048,242,30,12.40%,2.24
2018/11/18,纽扣的游戏-横幅-游戏界面,纽扣的游戏,345,0,0.00%,0.22
2018/11/18,纽扣的游戏-插屏-结算界面,纽扣的游戏,16,0,0.00%,0.16
2018/11/18,寻光-插屏,寻光,18,0,0.00%,0.03
2018/11/18,寻光-激励视频,寻光,8,0,0.00%,0.1
2018/11/18,疯狂投篮-开屏,疯狂投篮,47,3,6.38%,0.43
2018/11/18,疯狂投篮-插屏,疯狂投篮,1,0,0.00%,0
2018/11/18,疯狂投篮-横幅,疯狂投篮,7922,382,4.82%,39.69
2018/11/18,疯狂投篮-激励广告,疯狂投篮,170,35,20.59%,0
2018/11/18,欢乐打豆豆-开屏,欢乐打豆豆,4,1,25.00%,0.22
2018/11/18,欢乐打豆豆-插屏,欢乐打豆豆,86,2,2.33%,0.47
2018/11/18,欢乐打豆豆-横幅,欢乐打豆豆,345,0,0.00%,0.05
2018/11/18,欢乐打豆豆-激励广告,欢乐打豆豆,3,0,0.00%,0
2018/11/18,十字绣-横幅-游戏底部,十字绣,7105,15,0.21%,1.44
2018/11/18,十字绣-插屏-游戏暂停,十字绣,1091,97,8.89%,2.78
2018/11/18,十字绣-开屏-游戏启动,十字绣,64,2,3.12%,0.31
2018/11/18,十字绣-视频-激励广告,十字绣,259,12,4.63%,0
2018/11/18,八分音符酱-原生,八分音符酱,849,78,9.19%,10.16
2018/11/18,保护气球-横幅,保护气球,4863,38,0.78%,4.66
2018/11/18,保护气球-插屏,保护气球,2620,239,9.12%,10.98
2018/11/18,保护气球-开屏,保护气球,128,2,1.56%,0.43
2018/11/18,保护气球-视频激励,保护气球,390,41,10.51%,4.92
2018/11/18,指尖陀螺-横幅,指尖陀螺,256,6,2.34%,0.93
2018/11/18,指尖陀螺-插屏,指尖陀螺,248,26,10.48%,1.67
2018/11/18,指尖陀螺-开屏,指尖陀螺,8,0,0.00%,0.1
2018/11/18,指尖陀螺-视频,指尖陀螺,27,5,18.52%,0.04
2018/11/18,致命漂移-横幅,致命漂移,186,0,0.00%,0.04
2018/11/18,致命漂移-插屏,致命漂移,59,1,1.69%,0.07
2018/11/18,致命漂移-开屏,致命漂移,1,0,0.00%,0
2018/11/18,致命漂移-视频,致命漂移,7,0,0.00%,0.02
2018/11/18,一球爆破-开屏,一球爆破,6,0,0.00%,0.1
2018/11/18,一球爆破-插屏,一球爆破,67,0,0.00%,0.04
2018/11/18,一球爆破-横幅,一球爆破,190,0,0.00%,0
2018/11/18,一球爆破-视频,一球爆破,6,0,0.00%,0
2018/11/18,完美贴合-横幅,完美贴合,944,1,0.11%,0.26
2018/11/18,完美贴合-插屏,完美贴合,313,8,2.56%,0.58
2018/11/18,完美贴合-开屏,完美贴合,0,0,0.00%,0
2018/11/18,完美贴合-视频,完美贴合,32,3,9.38%,1.24
2018/11/18,面条滑溜溜-横幅,面条滑溜溜,2714,3,0.11%,0.59
2018/11/18,面条滑溜溜-插屏,面条滑溜溜,1860,102,5.48%,5.23
2018/11/18,面条滑溜溜-开屏,面条滑溜溜,49,0,0.00%,0.17
2018/11/18,面条滑溜溜-视频,面条滑溜溜,68,5,7.35%,1.28
2018/11/18,开心玻璃杯-横幅,开心玻璃杯,20165,104,0.52%,10.57
2018/11/18,开心玻璃杯-插屏,开心玻璃杯,7843,504,6.43%,24.87
2018/11/18,开心玻璃杯-开屏,开心玻璃杯,246,12,4.88%,1.51
2018/11/18,开心玻璃杯-视频,开心玻璃杯,1151,127,11.03%,25.49
