时间,广告位类型,广告位,广告展示数,点击量,预计收入,千次展示收益,点击率
2018-10-22,开屏,十字绣hj-hj-开屏,5,0,0.00,0.00,0.00%
2018-10-22,插屏,六角拼拼-金立游戏-插屏,116,3,0.43,3.71,2.59%
2018-10-22,开屏,贪吃蛇大战2048-应用宝-开屏,86,7,0.82,9.53,8.14%
2018-10-22,插屏,开心玻璃杯-qihoo-插屏,"6,180",197,23.28,3.77,3.19%
2018-10-22,插屏,奇妙的森林-4399-插屏,0,0,0.00,0.00,0.00%
2018-10-22,插屏,贪吃蛇大战2048-青柠-插屏,0,0,0.00,0.00,0.00%
2018-10-22,开屏,十字绣-oppo-激励开屏,442,23,3.07,6.95,5.20%
2018-10-22,Banner,红心大战接龙-金立游戏-横幅,"2,678",8,1.81,0.68,0.30%
2018-10-22,开屏,十字绣-应用宝-开屏,724,26,3.60,4.97,3.59%
2018-10-22,开屏,保护气球-小米-开屏,59,6,1.27,21.53,10.17%
2018-10-22,开屏,保护气球-华为-开屏,"3,389",350,38.28,11.30,10.33%
2018-10-22,插屏,八分音符酱-百度-插屏-1.3.0,228,6,0.73,3.20,2.63%
2018-10-22,插屏,八分音符酱4399-插屏,19,1,0.08,4.21,5.26%
2018-10-22,开屏,疯狂投篮-oppo-开屏,"2,965",443,52.71,17.78,14.94%
2018-10-22,Banner,十字绣-金立游戏-横幅,"1,564",8,0.73,0.47,0.51%
2018-10-22,插屏,贪吃蛇大战2048-vivo-插屏,"1,366",74,6.47,4.74,5.42%
2018-10-22,插屏,八分音符酱-联想-插屏,16,0,0.00,0.00,0.00%
2018-10-22,Banner,暖暖换装物语-横幅,10,0,0.00,0.00,0.00%
2018-10-22,Banner,保护气球-小米-横幅,55,2,0.49,8.91,3.64%
2018-10-22,Banner,红心大战接龙-oppo-横幅,"83,920",260,33.85,0.40,0.31%
2018-10-22,开屏,红心大战接龙-4399-开屏1,891,46,5.29,5.94,5.16%
2018-10-22,插屏,地表最强音-小米-插屏,2,1,0.44,220.00,50.00%
2018-10-22,插屏,球球跳-联想-插屏,107,11,1.45,13.55,10.28%
2018-10-22,原生,贪吃蛇-青柠-退出广告-自,5,0,0.01,2.00,0.00%
2018-10-22,原生,保护气球-taptap-插屏(原),729,77,10.87,14.91,10.56%
2018-10-22,Banner,奇妙的森林-oppo-横幅,152,0,0.01,0.07,0.00%
2018-10-22,插屏,球球跳-vivo-插屏,"2,848",133,11.04,3.88,4.67%
2018-10-22,开屏,纽扣的游戏4399-开屏,170,15,1.78,10.47,8.82%
2018-10-22,Banner,指尖飞车-taptap-横幅,951,0,0.05,0.05,0.00%
2018-10-22,开屏,i6066-开屏,24,1,0.25,10.42,4.17%
2018-10-22,开屏,六角拼拼-小米-开屏,230,15,2.20,9.57,6.52%
2018-10-22,开屏,球球大战方块-小米-开屏,80,4,0.46,5.75,5.00%
2018-10-22,开屏,疯狂投篮-小米-开屏,39,7,0.84,21.54,17.95%
2018-10-22,开屏,全民跳一跳-酷派-开屏,1,0,0.00,0.00,0.00%
2018-10-22,插屏,滚动的球球-好游-插屏,9,0,0.00,0.00,0.00%
2018-10-22,插屏,贪吃蛇大战2048-应用宝-激励插屏,0,0,0.00,0.00,0.00%
2018-10-22,Banner,贪吃蛇大战2048-九游-横幅,117,2,0.35,2.99,1.71%
2018-10-22,插屏,红心大战接龙-联想-插屏,64,0,0.02,0.31,0.00%
2018-10-22,插屏,疯狂投篮-应用宝-插屏,233,8,0.57,2.45,3.43%
2018-10-22,插屏,八分音符酱-OPPO-插屏-激励,0,0,0.00,0.00,0.00%
2018-10-22,开屏,贪吃蛇大战20484399-开屏,27,1,0.20,7.41,3.70%
2018-10-22,Banner,纽扣的游戏-金立游戏-横幅,"1,305",23,2.11,1.62,1.76%
2018-10-22,插屏,八分音符酱-阿里云-插屏,0,0,0.00,0.00,0.00%
2018-10-22,开屏,吃鸡大英雄-联想-开屏,0,0,0.00,0.00,0.00%
2018-10-22,Banner,全民跳一跳-小米-横幅,75,1,0.21,2.80,1.33%
2018-10-22,插屏,指尖陀螺-联想-插屏,3,1,0.07,23.33,33.33%
2018-10-22,插屏,红心大战接龙-4399-插屏1,"2,016",60,3.75,1.86,2.98%
2018-10-22,插屏,欢乐打豆豆-通用-插屏,230,11,1.13,4.91,4.78%
2018-10-22,开屏,纽扣的游戏-oppo-开屏,"4,010",607,73.29,18.28,15.14%
2018-10-22,Banner,面条滑溜溜-魅族-横幅,"82,281",315,33.61,0.41,0.38%
2018-10-22,开屏,保护气球-中兴-开屏,83,6,1.30,15.66,7.23%
2018-10-22,开屏,疯狂投篮-三星-开屏,1,0,0.00,0.00,0.00%
2018-10-22,原生,指尖飞车-taptap-开屏(原),399,26,5.34,13.38,6.52%
2018-10-22,Banner,保护气球-好游-横幅,"2,554",22,2.48,0.97,0.86%
2018-10-22,插屏,欢乐打豆豆-联想-插屏,0,0,0.00,0.00,0.00%
2018-10-22,插屏,纽扣的游戏-oppo-插屏,0,0,0.00,0.00,0.00%
2018-10-22,Banner,八分音符酱-联想-横幅,38,0,0.00,0.00,0.00%
2018-10-22,开屏,开心玻璃杯-联想-开屏,444,45,7.22,16.26,10.14%
2018-10-22,插屏,八分音符酱-阿里云-插屏-激励,0,0,0.00,0.00,0.00%
2018-10-22,Banner,指尖飞车-360-横幅,98,4,0.18,1.84,4.08%
2018-10-22,开屏,飞刀射击-小米-开屏,190,19,2.19,11.53,10.00%
2018-10-22,插屏,保护气球-小米-插屏,153,7,0.96,6.27,4.58%
2018-10-22,Banner,球球跳一跳-好游-横幅,7,0,0.00,0.00,0.00%
2018-10-22,开屏,贪吃蛇大战2048-联想-开屏,99,11,1.47,14.85,11.11%
2018-10-22,插屏,保护气球-vivo-插屏,"13,580",733,77.04,5.67,5.40%
2018-10-22,插屏,八分音符酱-九游-插屏,2,0,0.00,0.00,0.00%
2018-10-22,Banner,飞刀射击-联想-横幅,250,4,0.63,2.52,1.60%
2018-10-22,Banner,八分音符酱-九游-横幅,3,0,0.00,0.00,0.00%
2018-10-22,插屏,面条滑溜溜-好游-插屏,"1,414",57,4.11,2.91,4.03%
2018-10-22,开屏,贪吃蛇大战2048-通用-开屏,183,18,2.33,12.73,9.84%
2018-10-22,插屏,飞刀射击-小米-插屏,245,13,1.48,6.04,5.31%
2018-10-22,开屏,贪吃蛇大战2048-小米-开屏,163,15,1.49,9.14,9.20%
2018-10-22,Banner,十字绣-联想-横幅,333,2,0.15,0.45,0.60%
2018-10-22,Banner,开心玻璃杯-qihoo-横幅,"10,990",44,5.62,0.51,0.40%
2018-10-22,开屏,奇妙的森林-小米-开屏,10,3,0.44,44.00,30.00%
2018-10-22,插屏,球球跳一跳-联想-插屏,0,0,0.00,0.00,0.00%
2018-10-22,插屏,斗图大作战-插屏,5,0,0.00,0.00,0.00%
2018-10-22,插屏,纽扣的游戏-通用-插屏-新,0,0,0.00,0.00,0.00%
2018-10-22,Banner,全民跳一跳-努比亚-横幅,351,1,0.19,0.54,0.28%
2018-10-22,Banner,指尖飞车-联想-横幅,346,8,0.99,2.86,2.31%
2018-10-22,Banner,球球跳-联想-横幅,316,1,0.19,0.60,0.32%
2018-10-22,插屏,魅影车手-好游-插屏,25,0,0.00,0.00,0.00%
2018-10-22,插屏,面条滑溜溜-魅族-插屏,"123,268","9,086",440.86,3.58,7.37%
2018-10-22,Banner,疯狂投篮-oppo-横幅,"6,986",257,27.38,3.92,3.68%
2018-10-22,插屏,保护气球-好游-插屏,13,1,0.04,3.08,7.69%
2018-10-22,插屏,保护气球-中兴-插屏,"1,043",29,4.41,4.23,2.78%
2018-10-22,插屏,小飞机大战-插屏,0,0,0.00,0.00,0.00%
2018-10-22,开屏,十字绣-小米-开屏,361,32,4.44,12.30,8.86%
2018-10-22,插屏,红心大战接龙-vivo-插屏,"7,615",175,26.94,3.54,2.30%
2018-10-22,开屏,疯狂投篮-好游快爆-开屏,42,3,0.53,12.62,7.14%
2018-10-22,开屏,六角拼拼-联想-开屏,62,1,0.61,9.84,1.61%
2018-10-22,开屏,飞刀射击-联想-开屏,37,7,2.23,60.27,18.92%
2018-10-22,开屏,地表最强音-oppo-开屏,67,4,0.37,5.52,5.97%
2018-10-22,Banner,疯狂投篮-好游快爆-横幅,284,3,0.70,2.46,1.06%
2018-10-22,开屏,纽扣的游戏-金立游戏-开屏,272,34,3.35,12.32,12.50%
2018-10-22,Banner,开心玻璃杯-好游快爆-横幅,"1,852",9,1.38,0.75,0.49%
2018-10-22,Banner,十字绣-4399-横幅,"1,989",5,0.50,0.25,0.25%
2018-10-22,插屏,六角拼拼-小米-激励插屏,0,0,0.00,0.00,0.00%
2018-10-22,开屏,十字绣-qihoo-开屏,90,4,0.53,5.89,4.44%
2018-10-22,原生,贪吃蛇大战2048-百度-锁屏广告,3,0,0.01,3.33,0.00%
2018-10-22,开屏,贪吃蛇大战2048-三星-开屏,179,15,2.25,12.57,8.38%
2018-10-22,插屏,寻光-联想-插屏,9,0,0.01,1.11,0.00%
2018-10-22,Banner,保护气球-联想-横幅,"1,274",13,2.04,1.60,1.02%
2018-10-22,Banner,欢乐球球-4399-横幅,464,5,0.54,1.16,1.08%
2018-10-22,插屏,球球大战方块-好游-插屏,3,0,0.00,0.00,0.00%
2018-10-22,开屏,六角拼拼-金立游戏-开屏,25,0,0.00,0.00,0.00%
2018-10-22,Banner,球球大战方块-联想-横幅,8,1,0.11,13.75,12.50%
2018-10-22,插屏,面条滑溜溜-oppo-插屏,"1,893",204,9.18,4.85,10.78%
2018-10-22,原生,八分音符酱-4399-退出广告-自,34,0,0.01,0.29,0.00%
2018-10-22,插屏,地表最强音-oppo-插屏,154,9,1.28,8.31,5.84%
2018-10-22,插屏,全民跳一跳-4399-插屏,7,1,0.08,11.43,14.29%
2018-10-22,插屏,八分音符酱-OPPO-插屏-激励,0,0,0.00,0.00,0.00%
2018-10-22,开屏,面条滑溜溜-oppo-开屏,384,33,3.15,8.20,8.59%
2018-10-22,插屏,玩转羽毛球-通用-插屏,0,0,0.00,0.00,0.00%
2018-10-22,开屏,贪吃蛇大战2048-oppo-开屏,"1,023",116,15.73,15.38,11.34%
2018-10-22,开屏,跳弹-oppo-开屏,0,0,0.00,0.00,0.00%
2018-10-22,Banner,纽扣的游戏-oppo-横幅,"11,077",140,11.14,1.01,1.26%
2018-10-22,插屏,吃鸡大英雄-小米-插屏,458,10,1.03,2.25,2.18%
2018-10-22,开屏,奇妙的森林-联想-开屏,13,2,0.17,13.08,15.38%
2018-10-22,插屏,指尖陀螺-努比亚-插屏,18,2,0.37,20.56,11.11%
2018-10-22,插屏,滚动的球球-联想-插屏,118,12,1.00,8.47,10.17%
2018-10-22,Banner,老板锁屏-横幅,"33,502",135,15.28,0.46,0.40%
2018-10-22,Banner,线条飞跃-360-横幅,168,1,0.11,0.65,0.60%
2018-10-22,插屏,贪吃蛇大战2048-小米-插屏,654,59,3.01,4.60,9.02%
2018-10-22,开屏,开心玻璃杯-好游快爆-开屏,470,21,2.64,5.62,4.47%
2018-10-22,插屏,全民跳一跳-oppo-插屏,"2,337",174,10.34,4.42,7.45%
2018-10-22,开屏,保护气球-好游-开屏,4,0,0.02,5.00,0.00%
2018-10-22,开屏,红心大战接龙-联想-开屏,46,7,0.57,12.39,15.22%
2018-10-22,开屏,地表最强音-紫卉-开屏,1,0,0.00,0.00,0.00%
2018-10-22,原生,皮皮虾我们走-百度-退出广告-自,0,0,0.00,0.00,0.00%
2018-10-22,插屏,寻光-百度-插屏,14,0,0.05,3.57,0.00%
2018-10-22,插屏,红心大战接龙-小米-插屏,866,23,2.34,2.70,2.66%
2018-10-22,开屏,地表最强音-金立游戏-开屏,3,0,0.00,0.00,0.00%
2018-10-22,Banner,红心大战接龙-4399-横幅1,"7,570",19,2.80,0.37,0.25%
2018-10-22,插屏,八分音符酱-OPPO-插屏-新,0,0,0.00,0.00,0.00%
2018-10-22,开屏,保护气球-金立游戏-开屏,214,8,1.00,4.67,3.74%
2018-10-22,原生,贪吃蛇大战20484399-退出广告-自,2,0,0.00,0.00,0.00%
2018-10-22,Banner,八分音符酱-酷派-横幅,39,1,0.11,2.82,2.56%
2018-10-22,Banner,开心玻璃杯-oppo-横幅,384,5,0.57,1.48,1.30%
2018-10-22,开屏,八分音符酱-vivo-开屏,"1,325",154,21.68,16.36,11.62%
2018-10-22,插屏,贪吃蛇大战20484399-插屏,74,4,0.27,3.65,5.41%
2018-10-22,原生,指尖飞车-taptap-插屏(原),235,61,6.67,28.38,25.96%
2018-10-22,插屏,欢乐打豆豆-通用-插屏-激励,0,0,0.00,0.00,0.00%
2018-10-22,插屏,活色生香换装-插屏,0,0,0.00,0.00,0.00%
2018-10-22,插屏,保护气球-4399-插屏,356,13,1.16,3.26,3.65%
2018-10-22,插屏,保护气球-魅族-插屏,8,0,0.01,1.25,0.00%
2018-10-22,插屏,寻光-应用宝-插屏,436,7,1.00,2.29,1.61%
2018-10-22,开屏,八分音符酱-百度-开屏,389,52,5.68,14.60,13.37%
2018-10-22,开屏,跳弹4399-开屏,0,0,0.00,0.00,0.00%
2018-10-22,开屏,球球跳一跳-联想-开屏,2,0,0.00,0.00,0.00%
2018-10-22,开屏,疯狂投篮-魅族-开屏1,111,14,1.45,13.06,12.61%
2018-10-22,插屏,保护气球-taptap-插屏,83,4,0.37,4.46,4.82%
2018-10-22,开屏,欢乐打豆豆-oppo-开屏,"2,386",194,30.94,12.97,8.13%
2018-10-22,Banner,指尖陀螺-vivo-横幅,712,14,2.03,2.85,1.97%
2018-10-22,插屏,线条飞跃-小米-插屏,308,15,1.93,6.27,4.87%
2018-10-22,开屏,欢乐球球-4399-开屏,87,7,1.16,13.33,8.05%
2018-10-22,插屏,十字绣-oppo-激励插屏,0,0,0.00,0.00,0.00%
2018-10-22,插屏,八分音符-纽扣助手-插屏,7,0,0.00,0.00,0.00%
2018-10-22,Banner,十字绣hj-hj-横幅,20,0,0.00,0.00,0.00%
2018-10-22,插屏,纽扣的游戏-九游-插屏,0,0,0.00,0.00,0.00%
2018-10-22,Banner,贪吃蛇大战2048-魅族-横幅,690,7,0.63,0.91,1.01%
2018-10-22,开屏,指尖陀螺-阿里云-开屏-新,4,2,0.01,2.50,50.00%
2018-10-22,插屏,纽扣的游戏-vivo-插屏,"5,158",467,57.11,11.07,9.05%
2018-10-22,插屏,贪吃蛇大战2048hj-hj-插屏,2,1,0.06,30.00,50.00%
2018-10-22,插屏,保护气球-金立游戏-插屏,612,25,1.61,2.63,4.08%
2018-10-22,开屏,指尖陀螺-小米-开屏,101,4,0.83,8.22,3.96%
2018-10-22,插屏,十字绣-qihoo-插屏,166,17,1.94,11.69,10.24%
2018-10-22,开屏,面条滑溜溜-好游-开屏,91,6,1.13,12.42,6.59%
2018-10-22,Banner,指尖陀螺-小米-横幅,199,1,0.21,1.06,0.50%
2018-10-22,插屏,飞刀射击-联想-插屏,52,2,0.08,1.54,3.85%
2018-10-22,插屏,全民跳一跳-努比亚-插屏,332,13,0.83,2.50,3.92%
2018-10-22,开屏,线条飞跃-360-开屏,23,5,0.50,21.74,21.74%
2018-10-22,开屏,地表最强音-应用宝-开屏,1,1,0.19,190.00,100.00%
2018-10-22,插屏,开心玻璃杯-好游快爆-插屏,408,16,1.83,4.49,3.92%
2018-10-22,Banner,面条滑溜溜-好游-横幅,"1,753",7,1.03,0.59,0.40%
2018-10-22,开屏,一球爆破-小米-开屏,73,4,0.55,7.53,5.48%
2018-10-22,Banner,六角拼拼-金立游戏-横幅,716,3,0.49,0.68,0.42%
2018-10-22,开屏,十字绣-4399-开屏,504,26,4.18,8.29,5.16%
2018-10-22,开屏,滚动的球球-联想-开屏,82,14,1.15,14.02,17.07%
2018-10-22,Banner,完美贴合-taptap-横幅,502,0,0.05,0.10,0.00%
2018-10-22,Banner,跳弹4399-横幅,0,0,0.00,0.00,0.00%
2018-10-22,Banner,地表最强音-应用宝-横幅,0,0,0.00,0.00,0.00%
2018-10-22,开屏,地表最强音-魅族-开屏,14,2,0.24,17.14,14.29%
2018-10-22,Banner,红心大战接龙-vivo-横幅,"44,574",128,19.44,0.44,0.29%
2018-10-22,Banner,跳弹-oppo-横幅,5,1,0.23,46.00,20.00%
2018-10-22,Banner,地表最强音-oppo-横幅,30,1,0.07,2.33,3.33%
2018-10-22,Banner,保护气球-金立游戏-横幅,806,4,0.43,0.53,0.50%
2018-10-22,Banner,吃鸡大英雄-好游-横幅,527,7,0.77,1.46,1.33%
2018-10-22,插屏,飞刀射击-4399-插屏,156,10,1.03,6.60,6.41%
2018-10-22,插屏,欢乐打豆豆-oppo-激励插屏,0,0,0.00,0.00,0.00%
2018-10-22,开屏,球球跳-联想-开屏,95,12,1.94,20.42,12.63%
2018-10-22,开屏,疯狂投篮4399-开屏,217,19,4.25,19.59,8.76%
2018-10-22,Banner,滑稽大冒险-横幅,226,5,2.86,12.65,2.21%
2018-10-22,开屏,吃鸡大英雄-tap-开屏,280,27,1.24,4.43,9.64%
2018-10-22,Banner,地表最强音-金立游戏-横幅,13,0,0.00,0.00,0.00%
2018-10-22,开屏,贪吃蛇大战2048-魅族-激励开屏,251,34,4.01,15.98,13.55%
